Open,High,Low,Close,Volume
67.3172,67.5806,66.8347,67.1751,14715137.569376
67.5105,67.8538,66.6453,66.7371,13340380.027991
67.548,68.1527,67.1395,67.1751,11922258.17183
68.6194,68.7871,67.5904,67.7315,11172989.388063
69.2231,69.5408,68.5385,68.8453,9629072.3995655
69.4274,69.9551,68.8127,69.1551,9518434.1499297
69.3908,69.7964,69.3139,69.4274,20150416.181345
69.5309,69.5763,69.0506,69.1649,7958648.7070302
70.0617,70.1959,69.3356,69.455,10121151.599457
70.3331,70.4998,69.7716,70.0874,10942482.729367
70.5362,70.8796,70.12,70.2117,8169178.6490626
70.4918,70.9891,70.2433,70.5895,8715395.0754755
69.6049,70.3251,69.4718,70.3053,9044645.9918584
69.9197,70.0163,69.3652,69.5951,10338839.831173
70.6951,70.7039,69.7786,70.3507,10334080.815305
69.6996,70.6803,69.5853,70.5895,9300967.9042577
68.9962,70.0301,68.9449,69.894,10598365.8435
68.9272,69.6996,68.4881,69.1886,15360370.921265
70.9299,71.0265,69.014,69.0308,19179628.639564
71.9954,72.0901,70.7809,70.8056,10145588.309693
71.6096,71.8188,71.2544,71.7675,10671973.982868
71.2209,71.3176,70.7543,71.2544,11739376.135406
70.7464,71.4616,70.482,71.0709,11592881.564719
71.4843,71.9254,70.4998,70.5442,10389037.058827
71.511,71.511,71.511,71.511,7593626.614929
72.2756,73.1911,72.2065,72.6188,11797181.70664
71.1854,72.4511,70.772,72.4511,10112726.266146
71.2643,71.4419,70.5698,70.9299,10693630.292566
71.3443,71.9411,71.1331,71.653,10290615.137039
70.8697,71.7981,70.844,71.5021,12248377.969999
71.1942,71.2367,69.093,70.261,21427184.623046
72.1177,72.2834,70.4642,70.5264,16569621.142094
72.3564,73.3124,71.9332,71.95,13466751.918587
70.7977,72.4867,70.4366,72.4255,22698413.550004
73.8412,74.1746,70.4198,71.2643,19798223.666208
75.2204,75.2657,74.0346,74.0671,14581477.643829
75.7383,76.0481,75.2204,75.4778,9787504.548501
76.3184,76.8482,75.6751,75.905,13418678.256054
76.3283,76.8748,76.1616,76.4407,10849362.11812
77.0939,77.1185,76.2138,76.3657,13286666.500858
77.5151,77.5151,76.6903,77.1283,13073521.380777
77.963,78.2886,77.375,77.665,12811877.885138
78.2984,78.3862,77.1027,77.6384,17189072.690231
78.9653,79.3087,77.8939,78.2886,20606014.661086
79.8996,80.8112,79.799,80.7855,9712032.3345466
79.3698,80.2311,79.3333,80.0653,10564695.932935
79.3333,79.6954,78.8351,79.2839,8736637.8221326
79.0156,80.0377,78.9002,79.5731,9563659.498386
78.6466,79.1971,78.2135,78.7176,10848268.40606
78.5697,78.8233,77.958,78.1849,9291919.1854808
78.8745,78.9801,78.4563,78.6565,6268655.7790621
78.9377,79.2948,78.9377,78.9377,7523882.4518101
79.8068,79.9657,79.4063,79.4438,7596740.5013503
79.3353,80.0693,79.3353,80.0278,5570922.2210202
79.6323,79.6589,79.0235,79.6085,6814726.242049
79.2515,80.0693,79.0551,79.5563,7245623.4528453
79.1616,79.4774,78.9752,78.9988,6656624.5380917
80.2014,80.2084,79.0068,79.0936,8662102.2068283
80.4806,80.6701,80.167,80.167,4981785.45192
80.533,80.7421,80.1936,80.3317,3443756.6685731
80.6977,80.9246,80.2084,80.3583,4897755.1184815
80.5764,80.9433,80.4027,80.6879,3933416.3219518
80.167,80.6474,80.0278,80.384,5638116.0787239
79.9725,80.3415,79.8621,79.9815,5080267.178167
80.0949,80.2449,79.7042,79.8621,7558468.6883269
80.2715,80.3849,79.9065,79.9903,6459988.4896713
80.2537,81.265,80.1028,80.167,8481546.4625052
79.8966,80.5072,79.8167,80.1748,18232298.636702
79.3451,79.7733,79.3106,79.3974,6703548.738645
78.5441,79.7566,78.4947,79.2948,8183890.5460413
78.396,78.9703,78.396,78.396,7517246.1841017
78.7276,78.8144,78.3083,78.7276,5560059.0957675
78.5441,78.8489,78.1583,78.8489,6473159.6615978
79.4438,79.4556,78.4296,78.6121,8336454.7625247
79.8344,80.0772,79.4576,79.6165,7711959.3671116
79.8532,80.1314,79.4576,79.7476,9951752.9345087
78.6743,80.1936,78.3774,79.7566,10314896.761135
78.6842,78.989,77.7588,78.841,9018798.3018381
77.958,78.8489,77.8357,78.5175,10526588.328766
78.0024,78.3596,77.6769,77.9846,5911252.1668902
78.0725,78.106,77.5743,78.0024,5548662.7985558
77.0682,77.7371,76.9114,77.6196,7102411.0319746
77.298,77.6196,77.1481,77.1737,2517642.0442262
77.2152,77.5743,76.8334,77.0682,6884333.5644562
76.937,77.8357,76.7979,77.4085,7097682.4251532
